Stromstärke I in mA 	uI (rechtecksverteilung)	Int Planar uW	uPp	int Auskopl in mW	uPa	int Auskopl2 in mW	uPa2
5	0,08660254038	43,5	0,6	2,71	0,01	3,05	0,01
5,1	0,08660254038	44,2	0,6	2,72	0,01	3,1	0,01
5,2	0,08660254038	44,9	0,6	2,75	0,01	3,13	0,01
5,3	0,08660254038	45,6	0,6	2,76	0,01	3,16	0,01
5,4	0,08660254038	46,2	0,6	2,8	0,01	3,18	0,01
5,5	0,08660254038	46,8	0,6	2,81	0,01	3,19	0,01
5,6	0,08660254038	47,3	0,6	2,81	0,01	3,23	0,01
5,7	0,08660254038	47,7	0,6	2,84	0,01	3,24	0,01
5,8	0,08660254038	48,2	0,6	2,84	0,01	3,24	0,01
5,9	0,08660254038	48,8	0,6	2,84	0,01	3,25	0,01
6	0,08660254038	49,3	0,6	2,85	0,01	3,26	0,01
6,1	0,08660254038	50	0,6	2,87	0,01	3,27	0,01
6,2	0,08660254038	50	0,6	2,86	0,01	3,27	0,01
6,3	0,08660254038	50,4	0,6	2,88	0,01	3,27	0,01
6,4	0,08660254038	50,5	0,6	2,87	0,01	3,26	0,01
6,5	0,08660254038	50,8	0,6	2,89	0,01	3,26	0,01